Nama,Food & Cooking,Fashion,Entertainment,Travel & Accomodation,Beauty,Healthcare,Technology,Automotive,Education,Sports,Finance,Tips & Trick About Career
BrandTiktok1,10,0,0,0,0,0,0,0,0,0,0,0
BrandTiktok2,0,10,0,0,0,0,0,0,0,0,0,0
BrandTiktok3,0,5,10,0,0,0,0,0,0,0,0,0
BrandTiktok4,3,3,0,10,0,0,0,0,0,0,0,0
BrandTiktok5,2,0,0,3,10,0,0,0,0,0,0,0
BrandTiktok6,0,0,0,0,0,10,0,0,0,0,0,0
BrandTiktok7,0,0,0,0,0,0,10,0,0,0,0,0
BrandTiktok8,0,0,0,0,0,0,0,10,0,0,0,0
BrandTiktok9,0,0,0,0,0,0,0,0,10,5,0,0
BrandTiktok10,0,0,0,0,0,5,0,0,0,10,0,0
BrandTiktok11,0,0,0,0,0,0,0,0,0,0,10,7
BrandTiktok12,0,0,0,0,0,0,0,0,7,0,0,10
