Username Tiktok,Nama,Followers,Likes,Food & Cooking,Fashion,Entertainment,Travel & Accomodation,Beauty,Healthcare,Technology,Automotive,Education,Sports,Finance,Tips & Trick About Career
@siscakohl,Sisca Kohl,10800000,310600000,1,0,0,0,1,0,0,0,0,0,0,0
@7iprast,,3700000,183800000,0,0,1,0,0,0,0,0,0,0,0,0
@fadiljaidi,Fadil Jaidi,8000000,160900000,0,1,1,0,0,0,0,0,0,0,0,0
@cheekykiddo,Alex,3800000,117700000,1,0,0,0,0,0,0,0,0,0,0,0
@mmvia,,3400000,95600000,0,1,0,0,0,0,0,0,0,0,0,0
@dilanjaniyar_2,Dilan Janiyar,2300000,78700000,1,1,0,0,0,0,0,0,0,0,0,0
@vmuliana,Vina Muliana,4400000,69700000,0,0,0,0,0,0,0,0,0,0,0,1
@adamshawn19,Adam Shawn,4500000,68100000,1,0,0,0,0,0,0,0,0,0,0,0
@thoriqhal,Throiq Halilintar,4500000,65200000,1,0,0,0,1,0,0,0,0,0,0,0
@syarif.yosee,Syarif,4700000,56200000,0,0,0,0,0,0,0,0,0,1,0,0
@tamarajessica,Jessica Effendy,1800000,54900000,1,0,0,0,0,1,0,0,0,0,0,0
@yoo_tooo,,1000000,31200000,0,0,0,0,0,0,1,0,0,0,0,0
@greyspolii,Greysia Polii,1900000,27700000,1,0,0,0,0,0,0,0,0,1,0,0
@sindi9rande,Sindi,435100,27600000,0,0,0,0,1,0,0,0,0,0,0,0
@putrabrahms,Putra Brahmana,527300,25100000,0,0,0,0,0,0,0,0,1,0,0,0
@aintyoursb,Hadni,337700,24100000,0,0,0,0,1,0,0,0,0,0,0,0
@thsaurus,,915200,22800000,0,1,0,0,0,0,0,0,0,0,0,0
@rezkiachyana,Rezki Achyana,515700,22700000,0,0,0,0,0,1,0,0,0,0,0,0
@irnaayu27,,259000,18300000,0,0,0,0,1,0,0,0,0,0,0,0
@helwabasheel,Helwa,596300,17900000,0,1,0,0,0,0,0,0,0,0,0,0
